129, 0.51, -0.18, 0.00, 1
160, 0.63, 0.00, -0.08, 1
109, 0.43, -0.12, -0.00, 0
94, 0.37, 0.00, -0.15, 1
149, 0.58, -0.10, -0.00, 0
147, 0.58, 0.00, -0.15, 1
92, 0.36, -0.02, -0.00, 0
112, 0.44, 0.00, -0.19, 1
160, 0.63, 0.01, 0.00, 1
126, 0.49, 0.00, -0.16, 0
88, 0.35, 0.09, 0.00, 1
134, 0.53, 0.00, -0.16, 0
158, 0.62, 0.11, 0.00, 1
104, 0.41, -0.00, -0.10, 0
98, 0.38, 0.17, 0.00, 1
153, 0.60, 0.00, -0.08, 0
142, 0.56, 0.16, 0.00, 1
90, 0.35, 0.00, 0.01, 1
117, 0.46, 0.19, 0.00, 0
161, 0.63, -0.00, 0.03, 1
120, 0.47, 0.15, 0.00, 0
89, 0.35, 0.00, 0.11, 1
140, 0.55, 0.15, 0.00, 0
154, 0.60, -0.00, 0.13, 1
99, 0.39, 0.07, 0.00, 0
101, 0.40, 0.00, 0.18, 1
156, 0.61, 0.05, -0.00, 0
137, 0.54, -0.00, 0.17, 1
88, 0.35, -0.04, -0.00, 1
123, 0.48, 0.00, 0.19, 0
161, 0.63, -0.06, -0.00, 1
114, 0.45, -0.00, 0.14, 0
91, 0.36, -0.14, -0.00, 1
144, 0.56, -0.00, 0.13, 0
151, 0.59, -0.14, 0.00, 1
95, 0.37, -0.00, 0.05, 0
107, 0.42, -0.19, -0.00, 1
159, 0.62, -0.00, 0.02, 0
131, 0.51, -0.17, -0.00, 1
88, 0.35, 0.00, -0.06, 1
129, 0.51, -0.18, -0.00, 0
159, 0.62, 0.00, -0.09, 1
109, 0.43, -0.12, 0.00, 0
94, 0.37, 0.00, -0.16, 1
149, 0.58, -0.10, -0.00, 0
147, 0.58, 0.00, -0.15, 1
92, 0.36, -0.02, -0.00, 0
112, 0.44, -0.00, -0.19, 1
160, 0.63, 0.01, 0.00, 1
125, 0.49, 0.00, -0.16, 0
88, 0.35, 0.09, -0.00, 1
134, 0.53, 0.00, -0.16, 0
157, 0.62, 0.11, -0.00, 1
104, 0.41, 0.00, -0.10, 0
98, 0.38, 0.17, 0.00, 1
153, 0.60, -0.00, -0.07, 0
142, 0.56, 0.16, 0.00, 1
90, 0.35, -0.00, 0.01, 1
117, 0.46, 0.19, -0.00, 0
